true_country,predicted_country,count,pct_of_true_country
Portugal,France,299,35.011709601873534
France,Portugal,287,8.660229330114666
Chile,Spain,156,23.248882265275707
Argentina,Spain,151,26.49122807017544
US,Germany,126,1.5410958904109588
Austria,France,124,24.701195219123505
US,France,116,1.4187866927592956
Spain,Chile,111,11.133400200601805
Chile,Argentina,108,16.09538002980626
Italy,US,100,3.4118048447628797
France,Austria,100,3.017501508750754
Spain,Argentina,97,9.729187562688065
Argentina,Chile,95,16.666666666666668
France,US,76,2.2933011466505735
Australia,US,57,16.285714285714285
Australia,New Zealand,56,16.0
Germany,US,44,13.538461538461538
Chile,US,39,5.812220566318927
US,Spain,38,0.46477495107632094
France,Australia,37,1.1164755582377792
France,South Africa,35,1.056125528062764
US,New Zealand,32,0.3913894324853229
Canada,US,30,76.92307692307692
South Africa,France,29,13.80952380952381
New Zealand,Australia,29,13.615023474178404
Australia,France,29,8.285714285714286
Spain,US,29,2.908726178535607
US,Chile,29,0.3546966731898239
US,Italy,26,0.31800391389432486
Austria,Portugal,25,4.9800796812749
US,Australia,24,0.29354207436399216
South Africa,US,20,9.523809523809524
US,Greece,19,0.23238747553816047
US,Portugal,19,0.23238747553816047
France,New Zealand,18,0.5431502715751357
Italy,France,17,0.5800068236096895
US,Austria,16,0.19569471624266144
New Zealand,US,14,6.572769953051643
US,South Africa,14,0.17123287671232876
Argentina,US,13,2.280701754385965
Israel,US,12,15.789473684210526
Israel,South Africa,11,14.473684210526315
New Zealand,France,11,5.164319248826291
Austria,US,11,2.191235059760956
US,Argentina,11,0.13454011741682975
US,Canada,11,0.13454011741682975
South Africa,Greece,10,4.761904761904762
Australia,Germany,9,2.5714285714285716
Italy,Spain,9,0.3070624360286592
South Africa,Israel,8,3.8095238095238093
Germany,Australia,8,2.4615384615384617
Portugal,US,8,0.936768149882904
France,Israel,8,0.24140012070006034
France,Spain,8,0.24140012070006034
Greece,US,7,10.0
Portugal,Austria,7,0.819672131147541
France,Argentina,7,0.2112251056125528
Croatia,US,6,54.54545454545455
Turkey,Israel,6,46.15384615384615
Romania,US,6,33.333333333333336
Bulgaria,US,6,28.571428571428573
Germany,France,6,1.8461538461538463
Italy,Australia,6,0.2047082906857728
Italy,Portugal,6,0.2047082906857728
US,Israel,6,0.07338551859099804
Mexico,Spain,5,50.0
Uruguay,Argentina,5,31.25
Uruguay,Spain,5,31.25
Greece,South Africa,5,7.142857142857143
Italy,Argentina,5,0.17059024223814398
Italy,Austria,5,0.17059024223814398
Slovenia,US,4,30.76923076923077
Israel,Italy,4,5.2631578947368425
South Africa,New Zealand,4,1.9047619047619047
Germany,New Zealand,4,1.2307692307692308
France,Chile,4,0.12070006035003017
France,Italy,4,0.12070006035003017
Morocco,Israel,3,75.0
Brazil,Chile,3,37.5
Brazil,Spain,3,37.5
Moldova,Hungary,3,33.333333333333336
Georgia,Israel,3,23.076923076923077
Slovenia,Bulgaria,3,23.076923076923077
Turkey,Georgia,3,23.076923076923077
Romania,Bulgaria,3,16.666666666666668
Israel,France,3,3.9473684210526314
South Africa,Australia,3,1.4285714285714286
New Zealand,Chile,3,1.408450704225352
New Zealand,Germany,3,1.408450704225352
Australia,Chile,3,0.8571428571428571
Australia,Spain,3,0.8571428571428571
Austria,England,3,0.5976095617529881
Argentina,Uruguay,3,0.5263157894736842
Chile,France,3,0.44709388971684055
Spain,France,3,0.30090270812437314
Spain,Germany,3,0.30090270812437314
Italy,Chile,3,0.1023541453428864
Italy,South Africa,3,0.1023541453428864
Peru,Argentina,2,100.0
Serbia,Slovenia,2,100.0
Lebanon,Greece,2,40.0
Lebanon,Israel,2,40.0
Moldova,US,2,22.22222222222222
Mexico,Chile,2,20.0
England,Austria,2,18.181818181818183
Georgia,Turkey,2,15.384615384615385
Georgia,US,2,15.384615384615385
Slovenia,Hungary,2,15.384615384615385
Uruguay,Chile,2,12.5
Hungary,Croatia,2,9.090909090909092
Hungary,South Africa,2,9.090909090909092
Hungary,US,2,9.090909090909092
Canada,South Africa,2,5.128205128205129
Greece,France,2,2.857142857142857
Israel,Czech Republic,2,2.6315789473684212
Israel,Lebanon,2,2.6315789473684212
South Africa,Italy,2,0.9523809523809523
Germany,Austria,2,0.6153846153846154
Australia,Austria,2,0.5714285714285714
Australia,Portugal,2,0.5714285714285714
Australia,South Africa,2,0.5714285714285714
Austria,Australia,2,0.398406374501992
Austria,Italy,2,0.398406374501992
Argentina,Australia,2,0.3508771929824561
Argentina,Austria,2,0.3508771929824561
Italy,Georgia,2,0.06823609689525759
Italy,Germany,2,0.06823609689525759
Italy,Israel,2,0.06823609689525759
France,England,2,0.060350030175015085
France,Germany,2,0.060350030175015085
France,Uruguay,2,0.060350030175015085
US,Hungary,2,0.02446183953033268
Cyprus,Greece,1,100.0
India,Israel,1,100.0
Luxembourg,Romania,1,100.0
Switzerland,US,1,100.0
Czech Republic,Germany,1,50.0
Macedonia,Croatia,1,50.0
Macedonia,Hungary,1,50.0
Ukraine,France,1,50.0
Ukraine,Hungary,1,50.0
Morocco,US,1,25.0
Brazil,Argentina,1,12.5
Brazil,Australia,1,12.5
Moldova,Greece,1,11.11111111111111
Moldova,South Africa,1,11.11111111111111
Mexico,Argentina,1,10.0
Mexico,US,1,10.0
Croatia,Bulgaria,1,9.090909090909092
Croatia,Lebanon,1,9.090909090909092
Croatia,Romania,1,9.090909090909092
England,France,1,9.090909090909092
Georgia,Italy,1,7.6923076923076925
Slovenia,Australia,1,7.6923076923076925
Slovenia,Georgia,1,7.6923076923076925
Slovenia,Moldova,1,7.6923076923076925
Slovenia,Romania,1,7.6923076923076925
Turkey,Bulgaria,1,7.6923076923076925
Turkey,US,1,7.6923076923076925
Uruguay,South Africa,1,6.25
Romania,Chile,1,5.555555555555555
Romania,Croatia,1,5.555555555555555
Romania,Georgia,1,5.555555555555555
Romania,Greece,1,5.555555555555555
Romania,Slovenia,1,5.555555555555555
Bulgaria,Croatia,1,4.761904761904762
Bulgaria,Germany,1,4.761904761904762
Bulgaria,Greece,1,4.761904761904762
Bulgaria,Israel,1,4.761904761904762
Bulgaria,Slovenia,1,4.761904761904762
Bulgaria,Turkey,1,4.761904761904762
Hungary,Austria,1,4.545454545454546
Hungary,France,1,4.545454545454546
Hungary,Moldova,1,4.545454545454546
Canada,Austria,1,2.5641025641025643
Canada,France,1,2.5641025641025643
Greece,Georgia,1,1.4285714285714286
Greece,Italy,1,1.4285714285714286
Greece,Spain,1,1.4285714285714286
Israel,Argentina,1,1.3157894736842106
Israel,Austria,1,1.3157894736842106
Israel,Bulgaria,1,1.3157894736842106
Israel,Chile,1,1.3157894736842106
Israel,Turkey,1,1.3157894736842106
South Africa,Argentina,1,0.47619047619047616
South Africa,Bulgaria,1,0.47619047619047616
South Africa,Croatia,1,0.47619047619047616
South Africa,Portugal,1,0.47619047619047616
South Africa,Spain,1,0.47619047619047616
New Zealand,India,1,0.4694835680751174
New Zealand,Italy,1,0.4694835680751174
New Zealand,South Africa,1,0.4694835680751174
New Zealand,Spain,1,0.4694835680751174
Germany,Croatia,1,0.3076923076923077
Germany,Spain,1,0.3076923076923077
Australia,Argentina,1,0.2857142857142857
Austria,Chile,1,0.199203187250996
Austria,New Zealand,1,0.199203187250996
Austria,Spain,1,0.199203187250996
Argentina,France,1,0.17543859649122806
Argentina,Israel,1,0.17543859649122806
Argentina,Mexico,1,0.17543859649122806
Argentina,Slovenia,1,0.17543859649122806
Chile,Australia,1,0.14903129657228018
Chile,Germany,1,0.14903129657228018
Chile,Mexico,1,0.14903129657228018
Chile,South Africa,1,0.14903129657228018
Chile,Uruguay,1,0.14903129657228018
Portugal,Australia,1,0.117096018735363
Portugal,Croatia,1,0.117096018735363
Spain,Australia,1,0.10030090270812438
Spain,Austria,1,0.10030090270812438
Spain,Italy,1,0.10030090270812438
Spain,Portugal,1,0.10030090270812438
Spain,South Africa,1,0.10030090270812438
Italy,Canada,1,0.03411804844762879
Italy,Greece,1,0.03411804844762879
Italy,New Zealand,1,0.03411804844762879
France,Canada,1,0.030175015087507542
US,Bulgaria,1,0.01223091976516634
US,Croatia,1,0.01223091976516634
US,Georgia,1,0.01223091976516634
US,Lebanon,1,0.01223091976516634
US,Romania,1,0.01223091976516634
