country,precision,recall,f1-score,support
Slovenia,0.0,0.0,0.0,13.0
Brazil,0.0,0.0,0.0,8.0
Morocco,0.0,0.0,0.0,4.0
Macedonia,0.0,0.0,0.0,2.0
Peru,0.0,0.0,0.0,2.0
Serbia,0.0,0.0,0.0,2.0
Ukraine,0.0,0.0,0.0,2.0
Cyprus,0.0,0.0,0.0,1.0
India,0.0,0.0,0.0,1.0
Luxembourg,0.0,0.0,0.0,1.0
Switzerland,0.0,0.0,0.0,1.0
Mexico,0.3333333333333333,0.1,0.15384615384615385,10.0
Canada,0.2777777777777778,0.1282051282051282,0.17543859649122806,39.0
Croatia,0.18181818181818182,0.18181818181818182,0.18181818181818182,11.0
Lebanon,0.2,0.2,0.2,5.0
Turkey,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
Uruguay,0.3333333333333333,0.1875,0.24,16.0
Romania,0.5,0.2222222222222222,0.3076923076923077,18.0
Moldova,0.5,0.2222222222222222,0.3076923076923077,9.0
Georgia,0.35714285714285715,0.38461538461538464,0.37037037037037035,13.0
Czech Republic,0.3333333333333333,0.5,0.4,2.0
Bulgaria,0.45,0.42857142857142855,0.43902439024390244,21.0
Israel,0.47435897435897434,0.4868421052631579,0.4805194805194805,76.0
Argentina,0.5555555555555556,0.5263157894736842,0.5405405405405406,570.0
Chile,0.5825242718446602,0.5365126676602087,0.5585725368502715,671.0
Australia,0.6158940397350994,0.5314285714285715,0.5705521472392638,350.0
Hungary,0.5909090909090909,0.5909090909090909,0.5909090909090909,22.0
South Africa,0.6201923076923077,0.6142857142857143,0.6172248803827751,210.0
Portugal,0.6120591581342435,0.629976580796253,0.6208886324293134,854.0
New Zealand,0.5622641509433962,0.6995305164319249,0.6234309623430963,213.0
Greece,0.5955056179775281,0.7571428571428571,0.6666666666666666,70.0
England,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
Austria,0.7033898305084746,0.6613545816733067,0.6817248459958932,502.0
Spain,0.661660777385159,0.7512537612838516,0.7036167214654767,997.0
Germany,0.6363636363636364,0.796923076923077,0.7076502732240437,325.0
France,0.8080118694362017,0.8216656608328304,0.8147815679233992,3314.0
US,0.9398091509664791,0.9395792563600783,0.9396941896024464,8176.0
Italy,0.9850533807829182,0.944387581030365,0.9642919352029263,2931.0
