country,roc_auc_ovr
Cyprus,0.5783936361303565
Lebanon,0.7881012268364047
Peru,0.7931122972695545
Bulgaria,0.8939023644392254
Morocco,0.8964557026999281
Canada,0.9020902307784604
Brazil,0.9126386179279187
Uruguay,0.918303800719055
Mexico,0.9225302936948039
Moldova,0.9240015288688082
Ukraine,0.9395914596592077
Slovenia,0.9415403576549779
Romania,0.9437852430198845
Croatia,0.9485587583148559
Chile,0.9577507561466994
Argentina,0.9595101427177586
Portugal,0.964473657417975
Israel,0.9653515550855499
Turkey,0.9676830641242905
Australia,0.9689323787625417
Georgia,0.9703810799173609
Austria,0.9704087673746649
France,0.9708434849657075
South Africa,0.9756455103311298
Spain,0.9793355945384968
Hungary,0.979358162388372
New Zealand,0.9805245802283913
England,0.9830271910374606
Germany,0.9879250721618031
US,0.989015536404235
Serbia,0.9940463970437281
Macedonia,0.9942773557791008
Czech Republic,0.994328679942517
Luxembourg,0.9966127790608159
Italy,0.9970115433589285
Greece,0.9977242627582554
Switzerland,0.998922247882987
India,0.9997947138824737
